,film,budget,original_language,popularity,production_companies,release_date,runtime,revenue,genre,production_companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,Willy/Milly,0,en,0.05627,,11/14/1986,86,,Comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4105,This Film Is Not Yet Rated,0,en,5.205826,"[{'name': 'British Broadcasting Corporation (BBC)', 'id': 3324}, {'name': 'Independent Film Channel (IFC)', 'id': 8857}, {'name': 'NetFlix', 'id': 8858}]",1/26/2006,98,,Documentary,British Broadcasting Corporation (BBC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4106,Chasing Papi,0,en,1.251134,"[{'name': 'Fox 2000 Pictures', 'id': 711}]",4/16/2003,80,,Comedy,Fox 2000 Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4107,Stop-Loss,25000000,en,5.430566,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Scott Rudin Productions', 'id': 258}, {'name': 'MTV Films', 'id': 746}, {'name': 'Peirce Pictures', 'id': 2546}]",3/28/2008,113,,Drama,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4108,"Cry, the Beloved Country",0,en,0.894647,"[{'name': 'Miramax', 'id': 53009}, {'name': 'Distant Horizon', 'id': 85681}, {'name': 'Alpine Pty Limited', 'id': 89840}]",12/15/1995,106,,Drama,Miramax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4109,Sixteen Candles,6500000,en,6.683723,"[{'name': 'Universal Pictures', 'id': 33}]",5/4/1984,93,,Comedy,Universal Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4110,Parrish,1500000,en,1.058213,"[{'name': 'Warner Bros.', 'id': 6194}]",5/4/2061,138,,Drama,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4111,The Boondock Saints II: All Saints Day,8000000,en,8.051448,"[{'name': 'Chris Brinker Productions', 'id': 2461}, {'name': 'Stage 6 Films', 'id': 11341}]",11/24/2009,118,,Action,Chris Brinker Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4112,The Devil Inside,1000000,en,5.747675,"[{'name': 'Room 101', 'id': 6302}, {'name': 'Prototype', 'id': 24048}]",1/6/2012,83,,Thriller,Room 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4113,Lucy,40000000,en,36.447603,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Canal+', 'id': 5358}, {'name': 'EuropaCorp', 'id': 6896}, {'name': 'Ciné+', 'id': 23616}]",7/14/2014,89,,Action,Universal Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4114,The Other Side of Heaven,7000000,en,1.782377,"[{'name': '3Mark Entertainment', 'id': 3208}]",4/12/2001,113,,Action,3Mark Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4115,My Bloody Valentine,15000000,en,5.245883,"[{'name': 'Lionsgate', 'id': 1632}]",1/16/2009,101,,Mystery,Lionsgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4116,The Ballad of Cable Hogue,3716946,en,2.537955,"[{'name': 'Warner Bros.', 'id': 6194}]",5/13/2070,121,,Action,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4117,Kiss Kiss Bang Bang,15000000,en,11.76054,"[{'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]",9/5/2005,103,,Action,Silver Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4118,Torque,40000000,en,5.574983,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Original Film', 'id': 333}, {'name': 'Warner Bros.', 'id': 6194}]",1/16/2004,84,,Action,Village Roadshow Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4119,Rampage,0,en,2.946078,"[{'name': 'De Laurentiis Entertainment Group (DEG)', 'id': 484}]",9/1/1987,97,,Thriller,De Laurentiis Entertainment Group (DEG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4120,Badlapur,3700000,hi,1.493061,"[{'name': 'Illuminati Films', 'id': 81175}, {'name': 'Maddock Films', 'id': 86699}]",2/20/2015,128,,Crime,Illuminati Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4121,Bewitched,85000000,en,9.276085,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Red Wagon Entertainment', 'id': 14440}, {'name': 'Bewitched', 'id': 84893}]",6/21/2005,102,,Comedy,Columbia Pictures Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4122,Return from Witch Mountain,0,en,3.936986,,3/10/1978,95,,Adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4123,Mindhunters,27000000,en,7.600017,"[{'name': 'Avenue Pictures Productions', 'id': 251}, {'name': 'Weed Road Pictures', 'id': 433}, {'name': 'Intermedia Films', 'id': 763}, {'name': 'Egmond Film & Television', 'id': 4588}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Outlaw Productions (I)', 'id': 19507}, {'name': 'Mindhunters (UK) Limited', 'id': 19508}, {'name': 'Mindhunters Productie BV', 'id': 19509}, {'name': 'Tonna Oy', 'id': 19510}, {'name': 'Outlaw Victoria Productions Inc.', 'id': 19511}]",5/7/2004,106,,Mystery,Avenue Pictures Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4124,Gallipoli,3000000,en,7.44658,"[{'name': 'The Australian Film Commission', 'id': 5186}, {'name': 'R & R Films', 'id': 8815}]",8/13/1981,112,,Adventure,The Australian Film Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4125,The Guillotines,15000000,cn,2.080781,"[{'name': 'Media Asia Films', 'id': 5552}, {'name': 'Stellar Mega Films', 'id': 6838}, {'name': 'We Pictures', 'id': 7909}, {'name': 'Polyface Entertainment', 'id': 27208}]",12/20/2012,113,,Action,Media Asia Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4126,The Legend of Billie Jean,0,en,2.727843,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Delphi III Productions', 'id': 3088}, {'name': 'The Guber-Peters Company', 'id': 4357}]",7/19/1985,96,,Action,TriStar Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4127,Cannonball Run II,0,en,5.305197,"[{'name': 'Golden Harvest Company', 'id': 2521}, {'name': 'Warner Bros.', 'id': 6194}]",6/29/1984,108,,Action,Golden Harvest Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4128,Deathstalker,0,en,2.030024,"[{'name': 'Palo Alto Productions', 'id': 3733}, {'name': 'Aries Cinematográfica Argentina', 'id': 5462}]",9/2/1983,80,,Action,Palo Alto Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4129,Man on Wire,0,en,8.359021,"[{'name': 'UK Film Council', 'id': 2452}, {'name': 'Red Box Films', 'id': 12840}, {'name': 'Discovery Films', 'id': 21673}, {'name': 'BBC Storyville', 'id': 50510}, {'name': 'Wall to Wall', 'id': 50511}]",7/25/2008,94,,Thriller,UK Film Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130,K-19: The Widowmaker,100000000,en,7.718723,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Intermedia Films', 'id': 763}, {'name': 'National Geographic Society', 'id': 2471}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'Palomar Pictures (II)', 'id': 11371}, {'name': 'First Light Production', 'id': 20344}]",7/19/2002,138,,Drama,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4131,Dune,40000000,en,9.261189,"[{'name': 'Dino De Laurentiis Company', 'id': 10308}]",12/14/1984,137,,Action,Dino De Laurentiis Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4132,Man of the Year,20000000,en,7.018483,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Morgan Creek Productions', 'id': 10210}]",10/9/2006,115,,Comedy,Universal Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4133,Narc,6500000,en,5.20644,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Lions Gate Films', 'id': 35}, {'name': 'Cruise/Wagner Productions', 'id': 44}]",1/14/2002,105,,Action,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4134,Lords of Dogtown,25000000,en,4.350049,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'TriStar Pictures', 'id': 559}]",6/3/2005,107,,Drama,Columbia Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4135,Insurgent,110000000,en,27.887186,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Mandeville Films', 'id': 10227}, {'name': 'Red Wagon Entertainment', 'id': 14440}, {'name': 'NeoReel', 'id': 24097}]",3/18/2015,119,,Adventure,Summit Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4136,Surviving the Game,7400000,en,3.644641,"[{'name': 'New Line Cinema', 'id': 12}]",4/15/1994,96,,Action,New Line Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4137,Bad Moms,20000000,en,9.362056,"[{'name': 'STX Entertainment', 'id': 47729}, {'name': 'Huayi Brothers Pictures', 'id': 78996}, {'name': 'BillBlock Media', 'id': 90185}]",7/28/2016,100,,Comedy,STX Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4138,Love and Death,3000000,en,5.165666,"[{'name': 'United Artists', 'id': 60}]",6/10/1975,85,,History,United Artists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4139,Lost in Thailand,2200000,zh,1.789133,"[{'name': 'Enlight Pictures', 'id': 4053}]",12/12/2012,105,,Comedy,Enlight Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4140,Leprechaun,900000,en,9.096254,"[{'name': 'Trimark Pictures', 'id': 4063}]",1/8/1993,92,,Comedy,Trimark Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4141,An American Tail,9000000,en,11.928545,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]",11/21/1986,80,,Drama,Universal Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4142,Mortal Kombat: Annihilation,30000000,en,6.532498,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Threshold Entertainment', 'id': 4174}]",11/21/1997,95,,Action,New Line Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4143,Joysticks,300000,en,2.290725,"[{'name': 'Jensen Farley Pictures', 'id': 4664}]",3/4/1983,88,,Comedy,Jensen Farley Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4144,Spring Breakers,5000000,en,14.830235,"[{'name': 'RabbitBandini Productions', 'id': 8924}, {'name': 'Division Films', 'id': 14036}, {'name': 'Pop Films', 'id': 14531}, {'name': 'Radar Pictures', 'id': 14718}, {'name': 'Muse Productions', 'id': 15231}, {'name': 'MJZ', 'id': 17719}, {'name': ""O' Salvation"", 'id': 26676}, {'name': 'Iconoclast', 'id': 78780}]",1/24/2013,94,,Drama,RabbitBandini Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4145,Paradise: Love,3600000,de,4.645724,"[{'name': 'Tatfilm', 'id': 20370}, {'name': 'Société Parisienne de Production', 'id': 25522}, {'name': 'Ulrich Seidl Film Produktion GmbH', 'id': 25523}]",4/27/2012,120,,Drama,Tatfilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4146,Being Charlie,0,en,2.930694,,9/14/2015,97,,Drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4147,Morgan,8000000,en,12.521071,"[{'name': 'Twentieth Century-Fox', 'id': 3408}, {'name': 'TSG Entertainment', 'id': 22213}]",9/1/2016,92,,Horror,Twentieth Century-Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4148,Basquiat,2962051,en,4.797674,"[{'name': 'Miramax', 'id': 53009}, {'name': 'Eleventh Street Production', 'id': 93380}, {'name': 'Jon Kilik', 'id': 93381}]",8/9/1996,108,,Drama,Miramax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4149,The Notorious Bettie Page,0,en,3.678394,"[{'name': 'Killer Films', 'id': 1422}, {'name': 'John Wells Productions', 'id': 1512}, {'name': 'HBO Films', 'id': 7429}]",9/14/2005,91,,Comedy,Killer Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4150,Baasha,0,ta,0.704162,"[{'name': 'Sathya Movies', 'id': 16434}]",1/15/1995,145,,Action,Sathya Movies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4151,Spartan,19250000,en,7.364519,"[{'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Franchise Pictures', 'id': 1403}, {'name': 'Signature Pictures', 'id': 2982}, {'name': 'Linson Entertainment', 'id': 4700}, {'name': 'Art Linson Productions', 'id': 8769}, {'name': 'ApolloMedia Distribution', 'id': 16850}, {'name': 'ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I)', 'id': 19951}, {'name': 'QI Quality International GmbH & Co. KG', 'id': 19952}, {'name': 'Spartan Productions (II)', 'id': 53600}]",3/12/2004,102,,Mystery,Epsilon Motion Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4152,Pinocchio,2600000,en,14.202284,"[{'name': 'RKO Radio Pictures', 'id': 6}, {'name': 'Walt Disney Productions', 'id': 3166}]",2/23/2040,88,,Animation,RKO Radio Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4153,A Wednesday!,1400000,hi,3.143929,"[{'name': 'UTV Motion Pictures', 'id': 2320}]",9/5/2008,103,,Action,UTV Motion Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4154,The Dinner Game,12500000,fr,6.122739,"[{'name': 'Gaumont', 'id': 9}, {'name': 'TPS Cinéma', 'id': 884}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'EFVE', 'id': 11037}]",4/15/1998,80,,Comedy,Gaumont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4155,Tusk,2800000,en,6.820925,"[{'name': 'Phase 4 Films', 'id': 9081}, {'name': 'Demarest Films', 'id': 13241}, {'name': 'SModcast Pictures', 'id': 13642}, {'name': 'A24', 'id': 41077}]",9/19/2014,102,,Comedy,Phase 4 Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4156,Road to Nowhere,5000000,en,1.744659,"[{'name': 'Tigers Den Studios', 'id': 40700}]",4/13/2011,121,,Mystery,Tigers Den Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4157,Black Lightning,15000000,ru,3.931527,"[{'name': 'Bazelevs Production', 'id': 1038}]",12/31/2009,102,,Action,Bazelevs Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4158,The Jewel of the Nile,25000000,en,10.571841,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'SLM Production Group', 'id': 396}, {'name': 'Stone Group Pictures', 'id': 3470}]",12/4/1985,106,,Action,Twentieth Century Fox Film Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4159,Grown Ups,80000000,en,23.981251,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Happy Madison Productions', 'id': 2608}, {'name': 'Relativity Media', 'id': 7295}]",6/24/2010,102,,Comedy,Columbia Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
